clubs
Leeds United
Caen
Lens
Al-Hilal
Al-Shabab
Olympiacos
Al-Nassr
Al-Ittihad
Toulouse
Los Angeles FC
Sevilla
Hatayspor
Bologna
Al Sadd SC
West Ham
Asociación Deportiva Guanacasteca
Al-Gharafa Sports Club
Manchester City
Barcelona
Antwerp
Liverpool
Al Duhail SC
Swansea City
Atlanta Utd
Guadalajara
Ajax
Pachuca
UNAM
Standard Liège
Leicester City
Spezia
Fiorentina
Crystal Palace
AC Omonia
Manchester Utd
Cruz Azul
América
Bochum
Real Madrid
St. Gallen
Hearts
Wydad Casablanca
Leverkusen
Chelsea
Almería
St Mirren
Benfica
Milan
Qatar SC
Rangers
Shanghai Shen
Fenerbahçe
Aston Villa
Dundee United
Persepolis
Dortmund
Brøndby
Sunderland
Tottenham
Sampdoria
Derby County
Liga Deportiva Alajuelense
Red Star
Angers
Espanyol
Juventus
Salernitana
Inter
Club Brugge
Osasuna
Al-Fateh
LA Galaxy
Brighton
Konyaspor
León
Atl Paranaense
Atlético Madrid
Celtic
Betis
Nantes
Vancouver
Valencia
Espérance de Tunis
CS Cartaginés
Sangju Sangmu
Bari
Esteghlal
Daegu
Rayo Vallecano
Sporting CP
Cardiff City
Bayern Munich
Club Sport Herediano
FC Copenhagen
Porto
Central Coast
CS Sfaxien
Brentford
Brest
Lille
Flamengo
River Plate
Columbus Crew
RB Leipzig
Monaco
Alanyaspor
Marseille
Strasbourg
Freiburg
Rennes
Luzern
Al-Wehda
Fagi Okayama
Roma
Udinese
M'Gladbach
Stuttgart
Abha
Vejle BK
Al-Ta'ee
Young Boys
Mainz 05
FC Dallas
Villarreal
Talleres
Basel
Nott'ham Forest
Werder Bremen
Monterrey
PSV Eindhoven
SD Aucas
Everton
Club Africain
Charleroi
Benevento
Vélez Sarsf
Trabzonspor
S-Pulse
Adelaide
Eint Frankfurt
Pogoń Szczecin
Augsburg
Jeonbuk
Newcastle Utd
Al-Ahli
AEK Athens
Paris S-G
Al Rayyan SC
Wolves
Houston Dynamo
Reading
Hellas Verona
Braga
Kayserispor
Beşiktaş
St. Pauli
Reims
Feyenoord
Fulham
Odense
Legia Warsaw
Arsenal
CF Montréal
Shandong Lunen
Wolfsburg
Al Ahli SC
Mallorca
Brescia
Toronto FC
Atromitos
Montpellier
Atalanta
Hoffenheim
Real Sociedad
Gamba Osaka
Ferencváros
Melb City
Hajduk Split
Dinamo Zagreb
Zenit
Napoli
Torino
Al Ahly SC
Cádiz
Getafe
AD San Carlos
FC Cincinnati
Middlesbrough
Birmingham City
Auxerre
Bournemouth
Galatasaray
Lazio
Nashville
Portsmouth
Seattle
Al-Arabi SC
FC Tokyo
Sheffield Utd
Dynamo Mosc
Colombe Sportive du Dja et Lobo
Aris
Heerenveen
Al-Ahli Dubai FC
RB Salzburg
Hannover 96
Mechelen
Real Salt Lake
Millonarios
Valladolid
Troyes
Genk
Nice
Newell's OB
Sepahan
Burnley
Nacional
None
Urawa Reds
Deportivo Saprissa
Southampton
FC Seoul
Norwich City
Watford
Clermont Foot
Bristol City
Chicago Fire
Athletic Club
Köln
Lech Poznań
Al-Ettifaq
Grampus
Stoke City
Lugano
Charlotte
Lyon
Lorient
Düsseldorf
Kawa Frontale
Huddersfield
Santos
Cercle Brugge
Anderlecht
Chaves
Palmeiras
Municipal Grecia
St Johnstone
Antalyaspor
Kuwait SC
Inter Miami
Schalke 04
Ulsan Hyundai
Daejeon Citizen FC
PAOK
