squads
United States
Tunisia
Ghana
Saudi Arabia
Senegal
Cameroon
Morocco
Argentina
Canada
Switzerland
Qatar
Costa Rica
Netherlands
Spain
Belgium
 England
Brazil
 Wales
Mexico
Denmark
IR Iran
Japan
Australia
Serbia
Croatia
Poland
Uruguay
Ecuador
France
Portugal
Korea Republic
Germany
